排名,品牌名称,门店数约,人均消费约,菜系,门店数区间,人均消费区间,门店数估算,人均消费估算
1,黑土风情铁锅炖,310,55,东北菜,,,,
2,小东北·北味至真,290,45,东北菜,,,,
3,山河屯铁锅炖,280,70,东北菜,,,,
4,锅中锅大灶台,270,32,东北菜,,,,
5,咱妈烀饼铁锅炖鱼馆,210,52,东北菜,,,,
6,灶座小锅烀饼,190,53,东北菜,,,,
7,咱屯子锅台鱼,170,60,东北菜,,,,
8,东北风,165,55,东北菜,,,,
9,万顺缘木火铁锅炖鱼村,160,55,东北菜,,,,
10,靠山屯铁锅炖,155,60,东北菜,,,,
1,Ameigo梅果·云贵川bistro,190,95,云南菜,,,,
2,云海肴,140,65,云南菜,,,,
3,余庆剔骨鸭,135,35,云南菜,,,,
4,外婆味道,95,55,云南菜,,,,
5,黔夺夺贵州酸汤火锅,90,75,云南菜,,,,
6,武松醉鹅,90,55,云南菜,,,,
7,野果yeego,60,105,云南菜,,,,
8,山野板扎·云贵川Bistro,60,105,云南菜,,,,
9,夜郎贵州烙锅,55,55,云南菜,,,,
10,茄子恰恰,55,55,云南菜,,,,
1,紫光园,300,45,北京菜,,,,
2,守柴炉烤鸭,290,58,北京菜,,,,
3,枣木牌烤鸭,280,35,北京菜,,,,
4,京兆刘福记,200,48,北京菜,,,,
5,德宜盛北京烤鸭,170,22,北京菜,,,,
6,乐寿御坊北京烤鸭,155,30,北京菜,,,,
7,火刻北京烤鸭,155,38,北京菜,,,,
8,京师傅,150,30,北京菜,,,,
9,张记北京烤鸭,145,30,北京菜,,,,
10,大金硕北京烤鸭店,135,28,北京菜,,,,
1,旦宝中华鲁肉饭,55,20,台湾菜,,,,
2,鹅庄,28,60,台湾菜,,,,
3,鹿港小镇,25,80,台湾菜,,,,
4,捡角台湾食堂,18,45,台湾菜,,,,
5,玲珑小镇,13,50,台湾菜,,,,
6,设计书台湾牛肉面,10,22,台湾菜,,,,
7,度小月,9,78,台湾菜,,,,
8,吉米屋,8,22,台湾菜,,,,
9,一叮鲁肉饭,8,22,台湾菜,,,,
10,一茶一坐,7,78,台湾菜,,,,
1,虾点·川湘水煮,325,43,川菜,,,,
2,川渝人家精品川菜,325,53,川菜,,,,
3,巴尔郎鸡公煲,213,23,川菜,,,,
4,冯四孃跷脚牛肉,188,43,川菜,,,,
5,斗鸣鸡公煲,188,28,川菜,,,,
6,椒爱,188,78,川菜,,,,
7,山村人家,188,33,川菜,,,,
8,周麻婆,188,43,川菜,,,,
9,宋氏重庆鸡公煲,163,23,川菜,,,,
10,朝天门火锅,163,78,川菜,,,,
1,老乡鸡,1000,25,徽菜,,,,
2,同庆楼,200,80,徽菜,,,,
3,庐州烤鸭店,150,45,徽菜,,,,
4,刘鸿盛,120,30,徽菜,,,,
5,詹记宫廷桃酥,100,20,徽菜,,,,
6,采蝶轩,80,25,徽菜,,,,
7,巴莉甜甜,60,25,徽菜,,,,
8,老乡鸡快餐,50,20,徽菜,,,,
9,合肥酒家,40,60,徽菜,,,,
10,黄山菜馆,30,70,徽菜,,,,
1,新疆第一盘,200,60,新疆菜,,,,
2,马木提烤包子,180,15,新疆菜,,,,
3,艾力西尔,150,50,新疆菜,,,,
4,巴依老爷,120,75,新疆菜,,,,
5,天山餐厅,100,65,新疆菜,,,,
6,西域美食,80,45,新疆菜,,,,
7,买买提烧烤,60,35,新疆菜,,,,
8,古丽夏提,50,55,新疆菜,,,,
9,阿布拉的馕,40,10,新疆菜,,,,
10,塔克拉玛干餐厅,30,60,新疆菜,,,,
1,小南国,200,150,本帮江浙菜,,,,
2,老吉士,180,120,本帮江浙菜,,,,
3,上海人家,150,100,本帮江浙菜,,,,
4,绿波廊,120,180,本帮江浙菜,,,,
5,松鹤楼,100,200,本帮江浙菜,,,,
6,得月楼,80,180,本帮江浙菜,,,,
7,楼外楼,60,150,本帮江浙菜,,,,
8,知味观,50,80,本帮江浙菜,,,,
9,奎元馆,40,60,本帮江浙菜,,,,
10,功德林,30,60,本帮江浙菜,,,,
1,炊烟小炒黄牛肉,300,70,湘菜,,,,
2,费大厨辣椒炒肉,280,65,湘菜,,,,
3,文和友,200,85,湘菜,,,,
4,一盏灯,180,60,湘菜,,,,
5,徐记海鲜,150,120,湘菜,,,,
6,辣椒树,120,55,湘菜,,,,
7,老长沙龙虾馆,100,90,湘菜,,,,
8,杨裕兴,80,30,湘菜,,,,
9,火宫殿,60,50,湘菜,,,,
10,玉楼东,50,100,湘菜,,,,
1,点都德,300,75,粤菜,,,,
2,太兴餐厅,280,85,粤菜,,,,
3,翠华餐厅,250,80,粤菜,,,,
4,避风塘,220,70,粤菜,,,,
5,茶餐厅,200,65,粤菜,,,,
6,唐宫海鲜舫,180,150,粤菜,,,,
7,海港城,150,200,粤菜,,,,
8,利苑酒家,120,300,粤菜,,,,
9,炳胜品味,100,250,粤菜,,,,
10,广州酒家,80,200,粤菜,,,,
1,西贝莜面村,300,85,西北菜,,,,
2,九毛九,280,60,西北菜,,,,
3,马兰拉面,250,25,西北菜,,,,
4,东方宫兰州牛肉拉面,220,20,西北菜,,,,
5,清真老马,200,30,西北菜,,,,
6,伊斯兰餐厅,180,35,西北菜,,,,
7,大西北,150,40,西北菜,,,,
8,甘肃大厦餐厅,120,45,西北菜,,,,
9,新疆大厦餐厅,100,50,西北菜,,,,
10,青海餐厅,80,45,西北菜,,,,
1,沙县小吃,1000,15,闽菜,,,,
2,醉得意,200,50,闽菜,,,,
