,东北菜,云南菜,北京菜,台湾菜,川菜,徽菜,新疆菜,本帮江浙菜,湘菜,粤菜,西北菜,闽菜,鲁菜
黑龙江,10265,3,1089,1,1767,10,143,929,575,578,343,2,520
山东,9989,482,5255,5,6786,927,890,4842,2579,3348,1312,1169,52151
辽宁,9694,9,1452,3,3764,8,344,2302,882,1352,635,8,588
河北,9393,271,4337,4,7121,817,1241,3787,2870,2075,1489,448,5336
吉林,6152,4,601,3,1581,172,136,691,529,600,218,5,793
内蒙古,5734,4,1141,1,1819,235,294,884,690,614,6082,10,342
河南,5728,361,4065,6,6155,1068,3431,5069,5871,3327,1749,292,6431
江苏,4617,723,5494,18,10789,7825,897,37049,6386,6675,2291,838,3462
山西,3671,165,1481,2,4121,392,1256,1893,2463,1215,8863,9,2298
广东,3647,1055,2257,1353,11272,659,696,6668,28761,64046,2780,857,1245
浙江,3260,1386,3680,8,9363,3457,768,27262,5703,3782,1239,857,1081
陕西,2627,346,1212,2,6527,628,847,1723,3515,1229,5905,253,711
北京,2468,1658,3078,1015,3638,1822,681,3300,2786,2444,1572,604,998
安徽,2093,211,3243,0,2947,25629,366,4774,3062,2437,1051,8,1601
天津,2019,180,591,3,1024,408,387,725,882,716,354,9,643
上海,1522,1010,701,1523,3482,3205,581,11102,3622,5265,958,604,328
福建,1043,316,1853,11,7559,219,208,2948,3615,5395,395,18035,369
四川,1043,829,2726,3,25506,361,380,3277,1143,2907,916,9,410
湖北,963,391,1921,5,6222,707,480,2653,7345,2712,895,2612,602
湖南,957,211,2160,1,1952,267,258,2336,26719,3862,479,253,342
新疆,908,195,685,0,4165,9,6324,498,2003,491,343,1,383
甘肃,835,5,598,1,3274,7,710,805,1381,1164,2437,2,369
海南,773,226,401,0,1061,219,114,498,2341,2553,385,3,164
云南,656,16024,1963,2,3155,314,272,1757,1811,1627,270,8,342
广西,620,346,986,2,1811,5,143,1530,3953,4628,322,3,273
江西,534,9,1448,4,2457,644,193,3220,4505,3370,572,253,478
贵州,319,11079,1015,1,1893,5,43,850,2494,1417,197,3,273
宁夏,282,2,187,0,757,2,308,204,291,318,1187,1,150
重庆,239,331,1122,3,8004,8,201,975,437,1041,291,1,7
青海,171,1,129,2,1848,0,251,215,667,578,1051,0,10
西藏,79,7,161,0,2056,3,100,102,337,151,1281,0,7
香港,12,0,35,6,482,0,0,351,69,3081,2,9,0
澳门,0,0,3,3,66,0,0,3,0,802,0,0,0
台湾,0,0,0,3046,59,0,0,0,0,72,0,3,0
