菜系,口味关键词
北京菜,咸鲜
北京菜,酱香
北京菜,浓郁
北京菜,酥脆
北京菜,厚重
本帮江浙菜,甜咸
本帮江浙菜,清淡
本帮江浙菜,鲜爽
本帮江浙菜,浓油赤酱
本帮江浙菜,软糯
本帮江浙菜,酒香
川菜,麻辣
川菜,香辣
川菜,鱼香
川菜,干香
川菜,红油
川菜,花椒
川菜,豆瓣
川菜,酸辣
东北菜,咸鲜
东北菜,酱香
东北菜,酸甜
东北菜,浓郁
东北菜,粗犷
徽菜,咸鲜
徽菜,微辣
徽菜,重色重油
徽菜,酱香味浓
徽菜,火功足
鲁菜,咸鲜
鲁菜,酱香
鲁菜,葱香
鲁菜,脆嫩
鲁菜,清汤
鲁菜,奶汤
闽菜,清淡
闽菜,鲜甜
闽菜,糟香
闽菜,酸香
闽菜,汤鲜
闽菜,原汁原味
台湾菜,清淡
台湾菜,鲜甜
台湾菜,酱香
台湾菜,微甜
台湾菜,融合
台湾菜,客家风味
西北菜,咸鲜
西北菜,酸辣
西北菜,孜然
西北菜,粗犷
西北菜,面食为主
湘菜,香辣
湘菜,酸辣
湘菜,鲜辣
湘菜,干香
湘菜,重油重色
新疆菜,咸鲜
新疆菜,孜然
新疆菜,香辣
新疆菜,酸甜
新疆菜,奶香
新疆菜,粗犷
粤菜,清淡
粤菜,鲜甜
粤菜,嫩滑
粤菜,原汁原味
粤菜,汤鲜
粤菜,豉香
云南菜,酸辣
云南菜,鲜香
云南菜,菌香
云南菜,微苦
云南菜,民族风味
云南菜,天然
