菜系,招牌菜
北京菜,北京烤鸭
北京菜,炸酱面
北京菜,涮羊肉
北京菜,卤煮火烧
北京菜,爆肚
北京菜,炒肝
北京菜,焦溜丸子
北京菜,京酱肉丝
北京菜,它似蜜
北京菜,豌豆黄
本帮江浙菜,西湖醋鱼
本帮江浙菜,东坡肉
本帮江浙菜,龙井虾仁
本帮江浙菜,松鼠桂鱼
本帮江浙菜,响油鳝糊
本帮江浙菜,腌笃鲜
本帮江浙菜,大煮干丝
本帮江浙菜,蟹粉豆腐
本帮江浙菜,生煎包
本帮江浙菜,桂花糖藕
川菜,麻婆豆腐
川菜,宫保鸡丁
川菜,水煮鱼
川菜,回锅肉
川菜,鱼香肉丝
川菜,夫妻肺片
川菜,辣子鸡
川菜,毛血旺
川菜,担担面
川菜,龙抄手
东北菜,锅包肉
东北菜,小鸡炖蘑菇
东北菜,杀猪菜
东北菜,地三鲜
东北菜,溜肉段
东北菜,酸菜白肉锅
东北菜,酱大骨
东北菜,拔丝地瓜
东北菜,东北大拉皮
东北菜,铁锅炖大鹅
徽菜,臭鳜鱼
徽菜,黄山炖鸽
徽菜,一品锅
徽菜,毛豆腐
徽菜,胡适一品锅
徽菜,问政山笋
徽菜,绩溪炒面
徽菜,刀板香
徽菜,腌鲜鳜鱼
徽菜,徽州圆子
鲁菜,葱烧海参
鲁菜,糖醋鲤鱼
鲁菜,九转大肠
鲁菜,油焖大虾
鲁菜,德州扒鸡
鲁菜,四喜丸子
鲁菜,木须肉
鲁菜,爆炒腰花
鲁菜,一品豆腐
鲁菜,奶汤蒲菜
闽菜,佛跳墙
闽菜,荔枝肉
闽菜,沙茶面
闽菜,姜母鸭
闽菜,土笋冻
闽菜,海蛎煎
闽菜,醉排骨
闽菜,南煎肝
闽菜,鱼丸汤
闽菜,红糟肉
台湾菜,三杯鸡
台湾菜,蚵仔煎
台湾菜,卤肉饭
台湾菜,盐酥鸡
台湾菜,大肠包小肠
台湾菜,牛肉面
台湾菜,棺材板
台湾菜,凤梨酥
台湾菜,担仔面
台湾菜,客家小炒
西北菜,手抓羊肉
西北菜,兰州拉面
西北菜,大盘鸡
西北菜,烤羊肉串
西北菜,酿皮
西北菜,臊子面
西北菜,羊肉泡馍
西北菜,油泼面
西北菜,胡辣汤
西北菜,浆水面
湘菜,剁椒鱼头
湘菜,毛氏红烧肉
湘菜,辣椒炒肉
湘菜,小炒黄牛肉
湘菜,腊味合蒸
湘菜,东安子鸡
湘菜,口味虾
湘菜,臭豆腐
湘菜,湘西外婆菜
湘菜,干锅肥肠
新疆菜,大盘鸡
新疆菜,手抓饭
新疆菜,烤羊肉串
新疆菜,馕坑肉
新疆菜,手抓羊肉
新疆菜,拉条子
新疆菜,烤包子
新疆菜,大盘肚
新疆菜,椒麻鸡
新疆菜,奶茶
粤菜,白切鸡
粤菜,烧鹅
粤菜,烤乳猪
粤菜,叉烧
粤菜,云吞面
粤菜,虾饺
粤菜,烧卖
粤菜,煲仔饭
粤菜,老火靓汤
粤菜,双皮奶
云南菜,过桥米线
云南菜,汽锅鸡
云南菜,野生菌火锅
云南菜,鲜花饼
云南菜,大理砂锅鱼
云南菜,包烧豆腐
云南菜,傣味舂鸡脚
云南菜,大救驾
云南菜,牛干巴
云南菜,滇味凉米线
